shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
2.2496,-0.4322,-1.9674,-0.92746,0.81084,0.84642
2.2509,-0.43274,-1.9752,-0.93648,0.8014,0.84858
2.2522,-0.43332,-1.983,-0.94549,0.79196,0.85075
2.2534,-0.43394,-1.9907,-0.95447,0.78254,0.85295
2.2546,-0.4346,-1.9983,-0.96343,0.77313,0.85517
2.2557,-0.4353,-2.0058,-0.97236,0.76374,0.85741
2.2568,-0.43605,-2.0132,-0.98127,0.75435,0.85967
2.2578,-0.43683,-2.0206,-0.99016,0.74497,0.86195
2.2588,-0.43765,-2.0279,-0.99903,0.73561,0.86425
2.2598,-0.43852,-2.0351,-1.0079,0.72626,0.86658
2.2607,-0.43942,-2.0422,-1.0167,0.71692,0.86892
2.2615,-0.44037,-2.0493,-1.0255,0.7076,0.87129
2.2623,-0.44135,-2.0562,-1.0342,0.69829,0.87368
2.2631,-0.44238,-2.0631,-1.043,0.68899,0.87609
2.2638,-0.44345,-2.0699,-1.0517,0.67971,0.87852
2.2645,-0.44456,-2.0766,-1.0604,0.67044,0.88097
2.2651,-0.44571,-2.0833,-1.069,0.66119,0.88345
2.2657,-0.44691,-2.0898,-1.0777,0.65196,0.88594
2.2662,-0.44814,-2.0963,-1.0863,0.64274,0.88846
2.2667,-0.44942,-2.1027,-1.0949,0.63354,0.891
2.2672,-0.45074,-2.109,-1.1034,0.62435,0.89355
2.2675,-0.4521,-2.1152,-1.1119,0.61519,0.89613
2.2679,-0.45351,-2.1213,-1.1204,0.60604,0.89874
2.2682,-0.45495,-2.1274,-1.1289,0.59691,0.90136
2.2684,-0.45644,-2.1333,-1.1373,0.5878,0.904
